# YEAR  MONTH   DAY HOUR    MINUTE  MLON    MLAT MLT
2003.00 11.00 20.00 19.00 40.00 178.50 55.00 2.88
2003.00 11.00 20.00 13.00 41.00 181.00 55.00 21.34
2003.00 11.00 20.00 16.00 56.00 181.00 55.00 0.44
2003.00 11.00 20.00 18.00 56.00 181.00 55.00 2.35
2003.00 11.00 20.00 19.00 23.00 181.00 55.00 2.78
2003.00 11.00 20.00 19.00 25.00 181.00 55.00 2.81
2003.00 11.00 20.00 19.00 38.00 181.00 55.00 3.02
2003.00 11.00 20.00 19.00 40.00 181.00 55.00 3.05
2003.00 11.00 20.00 13.00 41.00 183.50 55.00 21.51
2003.00 11.00 20.00 14.00 53.00 183.50 55.00 22.65
2003.00 11.00 20.00 16.00 37.00 183.50 55.00 0.30
2003.00 11.00 20.00 16.00 56.00 183.50 55.00 0.61
2003.00 11.00 20.00 17.00 20.00 183.50 55.00 0.99
2003.00 11.00 20.00 17.00 37.00 183.50 55.00 1.26
2003.00 11.00 20.00 17.00 40.00 183.50 55.00 1.31
2003.00 11.00 20.00 17.00 46.00 183.50 55.00 1.40
2003.00 11.00 20.00 18.00 14.00 183.50 55.00 1.85
2003.00 11.00 20.00 18.00 22.00 183.50 55.00 1.97
2003.00 11.00 20.00 19.00 25.00 183.50 55.00 2.98
2003.00 11.00 20.00 19.00 38.00 183.50 55.00 3.18
2003.00 11.00 20.00 13.00 41.00 186.00 55.00 21.67
2003.00 11.00 20.00 16.00 37.00 186.00 55.00 0.47
2003.00 11.00 20.00 17.00 20.00 186.00 55.00 1.15
2003.00 11.00 20.00 17.00 37.00 186.00 55.00 1.43
2003.00 11.00 20.00 17.00 40.00 186.00 55.00 1.47
2003.00 11.00 20.00 18.00 22.00 186.00 55.00 2.14
2003.00 11.00 20.00 16.00 26.00 188.50 55.00 0.46
2003.00 11.00 20.00 16.00 37.00 188.50 55.00 0.64
2003.00 11.00 20.00 17.00 28.00 188.50 55.00 1.45
2003.00 11.00 20.00 17.00 40.00 188.50 55.00 1.64
2003.00 11.00 20.00 16.00 26.00 191.00 55.00 0.63
2003.00 11.00 20.00 16.00 37.00 191.00 55.00 0.80
2003.00 11.00 20.00 17.00 28.00 191.00 55.00 1.62
2003.00 11.00 20.00 16.00 38.00 193.50 55.00 0.99
2003.00 11.00 20.00 13.00 11.00 198.50 55.00 22.03
2003.00 11.00 20.00 13.00 11.00 201.00 55.00 22.19
2003.00 11.00 20.00 13.00 11.00 203.50 55.00 22.36
2003.00 11.00 20.00 11.00 41.00 208.50 55.00 21.25
2003.00 11.00 20.00 11.00 41.00 211.00 55.00 21.42
2003.00 11.00 20.00 12.00 43.00 228.50 55.00 23.58
2003.00 11.00 20.00 9.00 29.00 238.50 55.00 21.10
2003.00 11.00 20.00 9.00 34.00 238.50 55.00 21.18
2003.00 11.00 20.00 7.00 0.00 241.00 55.00 18.71
2003.00 11.00 20.00 9.00 29.00 241.00 55.00 21.26
2003.00 11.00 20.00 9.00 29.00 243.50 55.00 21.43
2003.00 11.00 20.00 9.00 30.00 281.00 55.00 23.95
2003.00 11.00 20.00 9.00 30.00 283.50 55.00 0.11
2003.00 11.00 20.00 16.00 28.00 73.50 57.50 16.83
2003.00 11.00 20.00 16.00 28.00 76.00 57.50 16.99
2003.00 11.00 20.00 16.00 28.00 78.50 57.50 17.16
2003.00 11.00 20.00 16.00 28.00 81.00 57.50 17.33
2003.00 11.00 20.00 16.00 28.00 83.50 57.50 17.49
2003.00 11.00 20.00 16.00 28.00 86.00 57.50 17.66
2003.00 11.00 20.00 16.00 28.00 88.50 57.50 17.83
2003.00 11.00 20.00 16.00 28.00 91.00 57.50 17.99
2003.00 11.00 20.00 18.00 27.00 91.00 57.50 19.89
2003.00 11.00 20.00 16.00 28.00 93.50 57.50 18.16
2003.00 11.00 20.00 18.00 27.00 93.50 57.50 20.05
2003.00 11.00 20.00 16.00 28.00 96.00 57.50 18.33
2003.00 11.00 20.00 18.00 27.00 96.00 57.50 20.22
2003.00 11.00 20.00 16.00 28.00 98.50 57.50 18.49
2003.00 11.00 20.00 16.00 28.00 101.00 57.50 18.66
2003.00 11.00 20.00 16.00 28.00 103.50 57.50 18.83
2003.00 11.00 20.00 14.00 19.00 106.00 57.50 16.94
2003.00 11.00 20.00 16.00 28.00 106.00 57.50 18.99
2003.00 11.00 20.00 16.00 28.00 108.50 57.50 19.16
2003.00 11.00 20.00 16.00 28.00 111.00 57.50 19.33
2003.00 11.00 20.00 15.00 22.00 113.50 57.50 18.45
2003.00 11.00 20.00 16.00 28.00 113.50 57.50 19.49
2003.00 11.00 20.00 15.00 22.00 116.00 57.50 18.61
2003.00 11.00 20.00 16.00 28.00 116.00 57.50 19.66
2003.00 11.00 20.00 16.00 43.00 116.00 57.50 19.90
2003.00 11.00 20.00 14.00 19.00 118.50 57.50 17.78
2003.00 11.00 20.00 15.00 22.00 118.50 57.50 18.78
2003.00 11.00 20.00 16.00 28.00 118.50 57.50 19.83
2003.00 11.00 20.00 16.00 43.00 118.50 57.50 20.07
2003.00 11.00 20.00 14.00 19.00 121.00 57.50 17.94
2003.00 11.00 20.00 15.00 22.00 121.00 57.50 18.95
2003.00 11.00 20.00 16.00 28.00 121.00 57.50 19.99
2003.00 11.00 20.00 16.00 43.00 121.00 57.50 20.23
2003.00 11.00 20.00 14.00 19.00 123.50 57.50 18.11
2003.00 11.00 20.00 15.00 22.00 123.50 57.50 19.11
2003.00 11.00 20.00 17.00 40.00 123.50 57.50 21.31
2003.00 11.00 20.00 14.00 19.00 126.00 57.50 18.28
2003.00 11.00 20.00 16.00 55.00 126.00 57.50 20.76
2003.00 11.00 20.00 17.00 40.00 126.00 57.50 21.47
2003.00 11.00 20.00 17.00 49.00 126.00 57.50 21.62
2003.00 11.00 20.00 18.00 2.00 126.00 57.50 21.82
2003.00 11.00 20.00 20.00 24.00 126.00 57.50 0.08
2003.00 11.00 20.00 16.00 55.00 128.50 57.50 20.92
2003.00 11.00 20.00 17.00 40.00 128.50 57.50 21.64
2003.00 11.00 20.00 17.00 49.00 128.50 57.50 21.78
2003.00 11.00 20.00 18.00 2.00 128.50 57.50 21.99
2003.00 11.00 20.00 20.00 24.00 128.50 57.50 0.25
2003.00 11.00 20.00 15.00 27.00 131.00 57.50 19.69
2003.00 11.00 20.00 17.00 37.00 131.00 57.50 21.76
2003.00 11.00 20.00 17.00 40.00 131.00 57.50 21.81
2003.00 11.00 20.00 17.00 47.00 131.00 57.50 21.92
2003.00 11.00 20.00 17.00 49.00 131.00 57.50 21.95
2003.00 11.00 20.00 17.00 52.00 131.00 57.50 22.00
2003.00 11.00 20.00 18.00 1.00 131.00 57.50 22.14
2003.00 11.00 20.00 20.00 25.00 131.00 57.50 0.43
2003.00 11.00 20.00 15.00 27.00 133.50 57.50 19.86
2003.00 11.00 20.00 16.00 37.00 133.50 57.50 20.97
