# YEAR  MONTH   DAY HOUR    MINUTE  MLON    MLAT
2003.00 11.00 20.00 9.00 29.00 238.50 55.00
2003.00 11.00 20.00 9.00 34.00 238.50 55.00
2003.00 11.00 20.00 7.00 0.00 241.00 55.00
2003.00 11.00 20.00 9.00 29.00 241.00 55.00
2003.00 11.00 20.00 9.00 29.00 243.50 55.00
2003.00 11.00 20.00 9.00 30.00 281.00 55.00
2003.00 11.00 20.00 9.00 30.00 283.50 55.00
2003.00 11.00 20.00 16.00 28.00 73.50 57.50
2003.00 11.00 20.00 16.00 28.00 76.00 57.50
2003.00 11.00 20.00 16.00 28.00 78.50 57.50
2003.00 11.00 20.00 16.00 28.00 81.00 57.50
2003.00 11.00 20.00 16.00 28.00 83.50 57.50
2003.00 11.00 20.00 16.00 28.00 86.00 57.50
2003.00 11.00 20.00 16.00 28.00 88.50 57.50
2003.00 11.00 20.00 16.00 28.00 91.00 57.50
2003.00 11.00 20.00 18.00 27.00 91.00 57.50
2003.00 11.00 20.00 16.00 28.00 93.50 57.50
2003.00 11.00 20.00 18.00 27.00 93.50 57.50
2003.00 11.00 20.00 16.00 28.00 96.00 57.50
2003.00 11.00 20.00 18.00 27.00 96.00 57.50
2003.00 11.00 20.00 16.00 28.00 98.50 57.50
2003.00 11.00 20.00 16.00 28.00 101.00 57.50
2003.00 11.00 20.00 16.00 28.00 103.50 57.50
2003.00 11.00 20.00 14.00 19.00 106.00 57.50
2003.00 11.00 20.00 16.00 28.00 106.00 57.50
2003.00 11.00 20.00 16.00 28.00 108.50 57.50
2003.00 11.00 20.00 16.00 28.00 111.00 57.50
2003.00 11.00 20.00 15.00 22.00 113.50 57.50
2003.00 11.00 20.00 16.00 28.00 113.50 57.50
2003.00 11.00 20.00 15.00 22.00 116.00 57.50
2003.00 11.00 20.00 16.00 28.00 116.00 57.50
2003.00 11.00 20.00 16.00 43.00 116.00 57.50
2003.00 11.00 20.00 14.00 19.00 118.50 57.50
2003.00 11.00 20.00 15.00 22.00 118.50 57.50
2003.00 11.00 20.00 16.00 28.00 118.50 57.50
2003.00 11.00 20.00 16.00 43.00 118.50 57.50
2003.00 11.00 20.00 14.00 19.00 121.00 57.50
2003.00 11.00 20.00 15.00 22.00 121.00 57.50
2003.00 11.00 20.00 16.00 28.00 121.00 57.50
2003.00 11.00 20.00 16.00 43.00 121.00 57.50
2003.00 11.00 20.00 14.00 19.00 123.50 57.50
2003.00 11.00 20.00 15.00 22.00 123.50 57.50
2003.00 11.00 20.00 17.00 40.00 123.50 57.50
2003.00 11.00 20.00 14.00 19.00 126.00 57.50
2003.00 11.00 20.00 16.00 55.00 126.00 57.50
2003.00 11.00 20.00 17.00 40.00 126.00 57.50
2003.00 11.00 20.00 17.00 49.00 126.00 57.50
2003.00 11.00 20.00 18.00 2.00 126.00 57.50
2003.00 11.00 20.00 20.00 24.00 126.00 57.50
2003.00 11.00 20.00 16.00 55.00 128.50 57.50
2003.00 11.00 20.00 17.00 40.00 128.50 57.50
2003.00 11.00 20.00 17.00 49.00 128.50 57.50
2003.00 11.00 20.00 18.00 2.00 128.50 57.50
2003.00 11.00 20.00 20.00 24.00 128.50 57.50
2003.00 11.00 20.00 15.00 27.00 131.00 57.50
2003.00 11.00 20.00 17.00 37.00 131.00 57.50
2003.00 11.00 20.00 17.00 40.00 131.00 57.50
2003.00 11.00 20.00 17.00 47.00 131.00 57.50
2003.00 11.00 20.00 17.00 49.00 131.00 57.50
2003.00 11.00 20.00 17.00 52.00 131.00 57.50
2003.00 11.00 20.00 18.00 1.00 131.00 57.50
2003.00 11.00 20.00 20.00 25.00 131.00 57.50
2003.00 11.00 20.00 15.00 27.00 133.50 57.50
2003.00 11.00 20.00 16.00 37.00 133.50 57.50
2003.00 11.00 20.00 17.00 37.00 133.50 57.50
2003.00 11.00 20.00 17.00 40.00 133.50 57.50
2003.00 11.00 20.00 17.00 49.00 133.50 57.50
2003.00 11.00 20.00 17.00 52.00 133.50 57.50
2003.00 11.00 20.00 18.00 1.00 133.50 57.50
2003.00 11.00 20.00 18.00 5.00 133.50 57.50
2003.00 11.00 20.00 19.00 45.00 133.50 57.50
2003.00 11.00 20.00 20.00 25.00 133.50 57.50
2003.00 11.00 20.00 16.00 24.00 136.00 57.50
2003.00 11.00 20.00 16.00 37.00 136.00 57.50
2003.00 11.00 20.00 17.00 37.00 136.00 57.50
2003.00 11.00 20.00 17.00 40.00 136.00 57.50
2003.00 11.00 20.00 18.00 1.00 136.00 57.50
2003.00 11.00 20.00 18.00 5.00 136.00 57.50
2003.00 11.00 20.00 19.00 45.00 136.00 57.50
2003.00 11.00 20.00 20.00 25.00 136.00 57.50
2003.00 11.00 20.00 20.00 28.00 136.00 57.50
2003.00 11.00 20.00 16.00 24.00 138.50 57.50
2003.00 11.00 20.00 16.00 30.00 138.50 57.50
2003.00 11.00 20.00 17.00 40.00 138.50 57.50
2003.00 11.00 20.00 18.00 30.00 138.50 57.50
2003.00 11.00 20.00 19.00 28.00 138.50 57.50
2003.00 11.00 20.00 19.00 45.00 138.50 57.50
2003.00 11.00 20.00 20.00 0.00 138.50 57.50
2003.00 11.00 20.00 20.00 8.00 138.50 57.50
2003.00 11.00 20.00 20.00 29.00 138.50 57.50
2003.00 11.00 20.00 16.00 23.00 141.00 57.50
2003.00 11.00 20.00 16.00 24.00 141.00 57.50
2003.00 11.00 20.00 16.00 49.00 141.00 57.50
2003.00 11.00 20.00 16.00 53.00 141.00 57.50
2003.00 11.00 20.00 17.00 53.00 141.00 57.50
2003.00 11.00 20.00 18.00 27.00 141.00 57.50
2003.00 11.00 20.00 18.00 30.00 141.00 57.50
2003.00 11.00 20.00 18.00 52.00 141.00 57.50
2003.00 11.00 20.00 19.00 51.00 141.00 57.50
2003.00 11.00 20.00 20.00 8.00 141.00 57.50
2003.00 11.00 20.00 20.00 9.00 141.00 57.50
2003.00 11.00 20.00 20.00 28.00 141.00 57.50
2003.00 11.00 20.00 20.00 29.00 141.00 57.50
2003.00 11.00 20.00 15.00 19.00 143.50 57.50
2003.00 11.00 20.00 16.00 23.00 143.50 57.50
2003.00 11.00 20.00 18.00 42.00 143.50 57.50
2003.00 11.00 20.00 18.00 52.00 143.50 57.50
2003.00 11.00 20.00 19.00 18.00 143.50 57.50
2003.00 11.00 20.00 20.00 1.00 143.50 57.50
2003.00 11.00 20.00 20.00 3.00 143.50 57.50
2003.00 11.00 20.00 20.00 13.00 143.50 57.50
2003.00 11.00 20.00 20.00 19.00 143.50 57.50
2003.00 11.00 20.00 20.00 28.00 143.50 57.50
2003.00 11.00 20.00 15.00 19.00 146.00 57.50
2003.00 11.00 20.00 18.00 52.00 146.00 57.50
2003.00 11.00 20.00 19.00 17.00 146.00 57.50
2003.00 11.00 20.00 19.00 40.00 146.00 57.50
2003.00 11.00 20.00 20.00 1.00 146.00 57.50
2003.00 11.00 20.00 20.00 2.00 146.00 57.50
2003.00 11.00 20.00 20.00 3.00 146.00 57.50
2003.00 11.00 20.00 20.00 13.00 146.00 57.50
2003.00 11.00 20.00 20.00 19.00 146.00 57.50
2003.00 11.00 20.00 14.00 30.00 148.50 57.50
2003.00 11.00 20.00 14.00 53.00 148.50 57.50
2003.00 11.00 20.00 18.00 24.00 148.50 57.50
2003.00 11.00 20.00 18.00 52.00 148.50 57.50
2003.00 11.00 20.00 19.00 17.00 148.50 57.50
2003.00 11.00 20.00 19.00 19.00 148.50 57.50
2003.00 11.00 20.00 19.00 39.00 148.50 57.50
2003.00 11.00 20.00 19.00 40.00 148.50 57.50
2003.00 11.00 20.00 20.00 2.00 148.50 57.50
2003.00 11.00 20.00 20.00 3.00 148.50 57.50
2003.00 11.00 20.00 20.00 7.00 148.50 57.50
2003.00 11.00 20.00 20.00 14.00 148.50 57.50
2003.00 11.00 20.00 14.00 30.00 151.00 57.50
2003.00 11.00 20.00 14.00 53.00 151.00 57.50
2003.00 11.00 20.00 18.00 24.00 151.00 57.50
2003.00 11.00 20.00 19.00 5.00 151.00 57.50
2003.00 11.00 20.00 19.00 11.00 151.00 57.50
2003.00 11.00 20.00 19.00 19.00 151.00 57.50
2003.00 11.00 20.00 19.00 36.00 151.00 57.50
2003.00 11.00 20.00 19.00 39.00 151.00 57.50
2003.00 11.00 20.00 19.00 40.00 151.00 57.50
2003.00 11.00 20.00 20.00 20.00 151.00 57.50
2003.00 11.00 20.00 20.00 22.00 151.00 57.50
2003.00 11.00 20.00 18.00 2.00 153.50 57.50
2003.00 11.00 20.00 19.00 6.00 153.50 57.50
2003.00 11.00 20.00 19.00 11.00 153.50 57.50
